Distance [mm];By [];Bag;#;;;
187,4307906;-0,445819835;-0,453;96;4,352809099;-0,477382816;249,3975904
187,9740682;-0,447224803;-0,453;97;4,365425936;-0,47960897;250,1204819
188,5173459;-0,448605516;-0,453;98;4,378042775;-0,481758778;250,8433735
189,0606235;-0,449961971;-0,453;99;4,390659612;-0,483831899;251,566265
189,6039012;-0,451294166;-0,453;100;4,403276451;-0,485828002;252,2891567
190,1471788;-0,452602099;-0,453;101;4,415893287;-0,487746769;253,0120481
190,6904565;-0,453885768;-0,453;102;4,428510126;-0,489587897;253,7349398
191,2337341;-0,455145171;-0,453;103;4,441126963;-0,49135109;254,4578313
191,7770118;-0,456380304;-0,453;104;4,453743802;-0,493036069;255,1807229
192,3202894;-0,457591168;-0,453;105;4,466360639;-0,494642564;255,9036144
192,8635671;-0,458777757;-0,453;106;4,478977478;-0,496170322;256,626506
193,4068448;-0,459940072;-0,453;107;4,491594317;-0,497619098;257,3493976
193,9501224;-0,461078109;-0,453;108;4,504211154;-0,498988662;258,0722891
194,4934001;-0,462191867;-0,453;109;4,516827993;-0,500278795;258,7951808
195,0366777;-0,463281343;-0,453;110;4,529444829;-0,501489293;259,5180723
195,5799554;-0,463731695;-0,453;111;4,542061668;-0,502619963;260,2409639
196,123233;-0,464047405;-0,453;112;4,554678505;-0,503670624;260,9638554
196,6665107;-0,464361687;-0,453;113;4,567295344;-0,50464111;261,686747
197,2097883;-0,464674542;-0,453;114;4,579912181;-0,505531265;262,4096385
197,753066;-0,46498597;-0,453;115;4,59252902;-0,506340949;263,1325301
198,2963436;-0,465295971;-0,453;116;4,605145857;-0,507070032;263,8554216
198,8396213;-0,465604546;-0,453;117;4,617762696;-0,507718399;264,5783133
199,3828989;-0,465911694;-0,453;118;4,630379532;-0,508285946;265,3012048
199,9261766;-0,466217415;-0,453;119;4,642996371;-0,508772582;266,0240964
200,4694543;-0,466531466;-0,453;120;4,655613211;-0,509178231;266,746988
201,0127319;-0,466950751;-0,453;121;4,668230047;-0,509502828;267,4698795
